team,players_used,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
Ath Paranaense,3,21,21,1,888,21.0,24,1.14,91,66,73.6,8,5,8,5,23.8,1,0,1,0,100.0
Atl Goianiense,2,23,23,2,069,23.0,36,1.57,107,72,70.1,3,6,14,3,13.0,5,4,1,0,20.0
Atlético Mineiro,2,21,21,1,890,21.0,29,1.38,88,58,69.3,7,9,5,5,23.8,3,2,1,0,33.3
Bahia,1,23,23,2,070,23.0,25,1.09,98,73,74.5,11,5,7,6,26.1,0,0,0,0,
Botafogo (RJ),2,23,23,2,070,23.0,24,1.04,86,62,76.7,14,4,5,8,34.8,4,4,0,0,0.0
Corinthians,4,23,23,2,070,23.0,29,1.26,117,89,78.6,4,10,9,5,21.7,5,4,1,0,20.0
Criciúma,2,21,21,1,888,21.0,32,1.53,103,69,71.8,6,7,8,2,9.5,5,3,2,0,40.0
Cruzeiro,2,22,22,1,980,22.0,24,1.09,92,69,76.1,11,4,7,9,40.9,2,2,0,0,0.0
Cuiabá,1,21,21,1,890,21.0,29,1.38,106,77,75.5,4,6,11,4,19.0,3,3,0,0,0.0
Flamengo,2,22,22,1,980,22.0,25,1.14,80,55,71.3,12,5,5,4,18.2,4,2,1,1,33.3
Fluminense,1,22,22,1,980,22.0,26,1.18,112,86,78.6,5,6,11,5,22.7,2,2,0,0,0.0
Fortaleza,1,22,22,1,980,22.0,20,0.91,114,94,85.1,13,6,3,7,31.8,3,3,0,0,0.0
Grêmio,3,21,21,1,890,21.0,25,1.19,82,59,73.2,7,3,11,6,28.6,3,3,0,0,0.0
Internacional,2,19,19,1,710,19.0,18,0.95,74,56,77.0,6,7,6,5,26.3,1,1,0,0,0.0
Juventude,2,22,22,1,980,22.0,30,1.36,124,92,79.8,7,7,8,5,22.7,7,5,2,0,28.6
Palmeiras,2,23,23,2,070,23.0,19,0.83,89,71,79.8,12,5,6,9,39.1,2,1,0,1,0.0
Red Bull Bragantino,3,21,21,1,890,21.0,26,1.24,100,73,74.0,7,6,8,3,14.3,1,0,1,0,100.0
São Paulo,2,23,23,2,070,23.0,23,1.00,82,61,74.4,11,5,7,9,39.1,2,2,0,0,0.0
Vasco da Gama,1,22,22,1,980,22.0,33,1.50,122,89,73.0,8,4,10,5,22.7,0,0,0,0,
Vitória,1,23,23,2,070,23.0,36,1.57,107,71,68.2,6,4,13,4,17.4,3,2,0,1,0.0
