team,players_used,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors
Ath Paranaense,29,22.0,366,233,151,163,52,150,340,44.1,190,258,77,181,198,564,456,5
Atl Goianiense,36,24.0,372,228,168,155,49,155,358,43.3,203,289,93,196,211,583,531,4
Atlético Mineiro,34,22.0,426,259,180,186,60,204,352,58.0,148,198,64,134,189,615,387,1
Bahia,27,24.0,345,219,166,142,37,154,362,42.5,208,218,67,151,197,542,482,9
Botafogo (RJ),34,24.0,396,262,201,149,46,194,384,50.5,190,235,80,155,210,606,525,3
Corinthians,39,24.0,401,233,174,175,52,203,447,45.4,244,284,97,187,234,635,511,6
Criciúma,29,22.0,362,225,198,121,43,184,389,47.3,205,273,89,184,185,547,532,5
Cruzeiro,33,23.0,393,248,166,169,58,182,365,49.9,183,257,73,184,187,580,497,8
Cuiabá,27,22.0,342,216,181,127,34,175,326,53.7,151,214,60,154,167,509,500,4
Flamengo,29,23.0,380,249,173,141,66,161,324,49.7,163,221,62,159,177,557,417,2
Fluminense,35,23.0,378,232,157,156,65,180,349,51.6,169,238,81,157,191,569,449,11
Fortaleza,27,23.0,389,234,187,173,29,177,378,46.8,201,273,75,198,183,572,585,14
Grêmio,37,22.0,399,244,185,164,50,174,339,51.3,165,255,78,177,188,587,427,2
Internacional,32,20.0,384,261,157,165,62,189,370,51.1,181,214,54,160,176,560,391,6
Juventude,35,23.0,409,233,189,185,35,186,399,46.6,213,256,100,156,207,616,507,9
Palmeiras,32,24.0,417,250,157,204,56,181,414,43.7,233,242,74,168,219,636,360,4
Red Bull Bragantino,34,22.0,414,274,206,153,55,197,358,55.0,161,243,84,159,192,606,547,10
São Paulo,33,24.0,381,231,180,168,33,172,358,48.0,186,229,58,171,188,569,411,10
Vasco da Gama,35,23.0,455,305,237,172,46,218,431,50.6,213,251,84,167,198,653,549,5
Vitória,39,24.0,411,265,219,158,34,212,395,53.7,183,257,87,170,220,631,541,8
