team,players_used,possession,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received
Ath Paranaense,28,51.5,21.0,12309,1200,3356,5881,3197,495,12308,349,169,48.4,152,43.6,6900,34866,17990,346,244,79,272,178,7924,878
Atl Goianiense,36,45.9,23.0,12142,1272,3667,5360,3253,449,12139,336,141,42.0,173,51.5,6417,33993,17231,346,287,72,331,157,7302,851
Atlético Mineiro,34,59.7,21.0,14117,1238,4107,6814,3299,379,14111,369,170,46.1,177,48.0,8111,42471,21234,362,318,63,317,194,9946,935
Bahia,27,55.8,23.0,15377,1491,4796,7226,3477,398,15376,367,165,45.0,165,45.0,9248,46391,24744,398,332,75,306,198,11128,1013
Botafogo (RJ),34,51.3,23.0,13207,1363,4085,6338,2897,442,13201,320,157,49.1,137,42.8,7352,34870,17559,316,218,92,321,234,8685,887
Corinthians,39,49.7,23.0,12696,1326,3972,5799,3050,452,12695,434,190,43.8,211,48.6,6777,35869,18829,363,284,75,328,221,7830,863
Criciúma,28,43.0,21.0,10909,1292,3767,4742,2528,356,10909,365,177,48.5,158,43.3,5620,28723,14190,241,209,58,306,214,6531,723
Cruzeiro,33,51.6,22.0,13018,1249,3851,6152,3126,394,13015,415,195,47.0,186,44.8,7251,38952,20860,372,301,70,299,178,8597,825
Cuiabá,27,44.0,21.0,11052,1208,3547,5084,2539,342,11047,349,181,51.9,135,38.7,5916,30791,15406,266,199,57,283,188,6985,669
Flamengo,28,53.3,22.0,13106,1272,3744,6129,3348,510,13101,446,206,46.2,182,40.8,7597,42513,22888,387,305,103,293,183,8760,931
Fluminense,35,56.1,22.0,14388,1462,4882,6556,3071,357,14387,537,233,43.4,266,49.5,8252,41183,21006,377,272,81,340,260,10029,736
Fortaleza,27,41.7,22.0,10918,1231,3442,5270,2337,372,10915,375,170,45.3,150,40.0,5641,30956,15749,325,232,96,281,175,6336,660
Grêmio,37,47.0,21.0,11869,1077,3377,5484,3160,414,11867,494,251,50.8,212,42.9,6174,33252,16278,328,271,93,356,235,7447,798
Internacional,32,52.0,19.0,11559,971,3151,5655,2873,389,11555,356,179,50.3,152,42.7,6649,33901,17582,326,227,61,302,164,7461,755
Juventude,35,47.1,22.0,12057,1654,4734,5157,2278,331,12057,315,153,48.6,129,41.0,6565,34603,16828,300,207,48,287,177,7526,654
Palmeiras,32,54.3,23.0,13270,1103,3428,6365,3622,517,13266,430,184,42.8,203,47.2,7222,39987,20807,376,302,77,320,206,8313,1054
Red Bull Bragantino,33,48.1,21.0,11477,1268,3592,5137,2862,360,11475,367,181,49.3,162,44.1,5911,29873,15215,286,248,88,317,199,6711,677
São Paulo,32,56.7,23.0,14764,1388,4583,7220,3096,436,14761,390,191,49.0,170,43.6,8574,41254,19944,347,297,75,313,196,10525,917
Vasco da Gama,35,47.7,22.0,12161,1253,3906,5658,2730,366,12159,345,170,49.3,159,46.1,6376,33344,16574,288,257,52,293,196,7572,751
Vitória,39,43.1,23.0,11853,1424,4172,5466,2338,343,11849,418,180,43.1,192,45.9,6681,36978,18262,318,225,60,327,253,7234,698
