team,players_used,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net
Ath Paranaense,29,23.0,25,355,117,33.0,15.43,5.09,0.07,0.21,18.5,12,1,1,29.0,28.2,0.08,-4.0,-4.2
Atl Goianiense,37,25.0,20,342,109,31.9,13.68,4.36,0.05,0.16,18.5,9,3,4,27.9,24.8,0.07,-7.9,-7.8
Atlético Mineiro,34,23.0,32,340,97,28.5,14.78,4.22,0.07,0.25,21.8,32,8,8,29.4,23.1,0.07,+2.6,+0.9
Bahia,27,25.0,34,321,114,35.5,12.84,4.56,0.10,0.29,18.3,16,1,1,33.2,32.4,0.10,+0.8,+0.6
Botafogo (RJ),34,25.0,43,337,129,38.3,13.48,5.16,0.12,0.30,18.3,10,4,6,35.0,30.5,0.09,+8.0,+8.5
Corinthians,41,25.0,22,369,118,32.0,14.76,4.72,0.06,0.18,19.6,20,1,1,26.4,25.6,0.07,-4.4,-4.6
Criciúma,31,24.0,32,344,112,32.6,14.33,4.67,0.09,0.29,19.6,10,0,0,27.3,27.3,0.08,+4.7,+4.7
Cruzeiro,33,25.0,34,317,112,35.3,12.68,4.48,0.09,0.27,19.8,10,4,5,26.3,22.4,0.07,+7.7,+7.6
Cuiabá,28,23.0,22,267,79,29.6,11.61,3.43,0.07,0.23,19.3,11,4,5,23.3,19.3,0.07,-1.3,-1.3
Flamengo,30,24.0,38,321,124,38.6,13.37,5.17,0.10,0.27,19.5,9,5,6,32.5,27.8,0.09,+5.5,+5.2
Fluminense,35,24.0,19,265,100,37.7,11.04,4.17,0.07,0.18,19.7,10,1,1,20.2,19.4,0.07,-1.2,-1.4
Fortaleza,27,24.0,28,297,88,29.6,12.38,3.67,0.08,0.28,19.5,20,3,3,29.2,26.9,0.09,-1.2,-1.9
Grêmio,37,23.0,23,277,98,35.4,12.04,4.26,0.08,0.21,18.7,17,2,2,26.4,24.9,0.09,-3.4,-3.9
Internacional,34,22.0,21,307,93,30.3,13.95,4.23,0.07,0.23,17.7,7,0,4,32.6,29.3,0.10,-11.6,-8.3
Juventude,35,24.0,29,287,98,34.1,11.96,4.08,0.10,0.30,19.9,13,0,0,25.8,25.8,0.09,+3.2,+3.2
Palmeiras,32,25.0,37,449,137,30.5,17.96,5.48,0.07,0.24,19.6,26,4,5,43.0,39.4,0.09,-6.0,-6.4
Red Bull Bragantino,34,24.0,29,311,105,33.8,12.96,4.37,0.09,0.26,20.8,17,2,2,24.1,22.6,0.07,+4.9,+4.4
São Paulo,33,25.0,32,323,109,33.7,12.92,4.36,0.09,0.28,18.1,7,2,3,28.3,25.7,0.08,+3.7,+4.3
Vasco da Gama,36,24.0,28,280,90,32.1,11.67,3.75,0.10,0.31,18.2,5,0,2,23.4,21.8,0.08,+4.6,+6.2
Vitória,40,25.0,25,298,97,32.6,11.92,3.88,0.07,0.21,19.7,9,5,5,26.9,23.2,0.08,-1.9,-3.2
